filename,label,category_id,bbox,image_id,location,split_type,date_captured,year_month,minute_of_day,day_of_year,minOfDay_sin,minOfDay_cos,dayOfYear_sin,dayOfYear_cos
5965a9c0-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[780.8, 519.68, 394.24, 220.16]",5965a9c0-23d2-11e8-a6a3-ec086b02610b,7,val,2012-03-01 01:31:44,2012-03,91.0,61.0,0.3867109616368206,0.9222009716704518,0.8674563547295968,0.4975132889071806
59a17d47-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1021.44, 494.08, 368.64, 276.48]",59a17d47-23d2-11e8-a6a3-ec086b02610b,7,val,2012-03-01 01:31:45,2012-03,91.0,61.0,0.3867109616368206,0.9222009716704518,0.8674563547295968,0.4975132889071806
5a2c864d-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1213.44, 591.36, 529.92, 248.32]",5a2c864d-23d2-11e8-a6a3-ec086b02610b,7,val,2012-03-01 01:31:46,2012-03,91.0,61.0,0.3867109616368206,0.9222009716704518,0.8674563547295968,0.4975132889071806
593ef703-23d2-11e8-a6a3-ec086b02610b_0.jpg,raccoon,3,"[1163.5536607143, 858.1149107143, 341.4659821429, 351.1530357143]",593ef703-23d2-11e8-a6a3-ec086b02610b,125,val,2012-03-01 01:42:21,2012-03,102.0,61.0,0.4305110968082951,0.9025852843498606,0.8674563547295968,0.4975132889071806
5879d22b-23d2-11e8-a6a3-ec086b02610b_0.jpg,raccoon,3,"[939.326875, 1013.3708928571, 414.0471428571, 370.594375]",5879d22b-23d2-11e8-a6a3-ec086b02610b,125,val,2012-03-01 01:42:22,2012-03,102.0,61.0,0.4305110968082951,0.9025852843498606,0.8674563547295968,0.4975132889071806
588a67bc-23d2-11e8-a6a3-ec086b02610b_0.jpg,raccoon,3,"[541.5321428571, 1233.4401785714, 534.4460714286, 260.3198214286]",588a67bc-23d2-11e8-a6a3-ec086b02610b,125,val,2012-03-01 01:42:23,2012-03,102.0,61.0,0.4305110968082951,0.9025852843498606,0.8674563547295968,0.4975132889071806
5900a1c1-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1449.4983035714, 654.1955803571, 215.5197321429, 254.9584375]",5900a1c1-23d2-11e8-a6a3-ec086b02610b,125,val,2012-03-01 03:47:17,2012-03,227.0,61.0,0.8362861558477594,0.5482932295199139,0.8674563547295968,0.4975132889071806
58823bd2-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1558.6391071429, 506.1719642857, 262.7439285714, 208.5478571429]",58823bd2-23d2-11e8-a6a3-ec086b02610b,125,val,2012-03-01 03:47:18,2012-03,227.0,61.0,0.8362861558477594,0.5482932295199139,0.8674563547295968,0.4975132889071806
5883e8cf-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1707.2801785714, 415.6913392857, 204.74125, 179.8407589286]",5883e8cf-23d2-11e8-a6a3-ec086b02610b,125,val,2012-03-01 03:47:19,2012-03,227.0,61.0,0.8362861558477594,0.5482932295199139,0.8674563547295968,0.4975132889071806
5a2af3a7-23d2-11e8-a6a3-ec086b02610b_0.jpg,raccoon,3,"[366.08, 780.8, 355.84, 238.08]",5a2af3a7-23d2-11e8-a6a3-ec086b02610b,46,val,2012-03-01 05:13:56,2012-03,313.0,61.0,0.9790454724845838,0.2036417511401776,0.8674563547295968,0.4975132889071806
